MountainPeak,Latitude,Longitude,TempMax,TempMin,Snow,WindSpeed,Clouds
Mount_Elbert,39.1178,-106.4454,291.15,285.93,{},5.7,90
Mount_Massive,39.1875,-106.4757,298.15,285.93,{},4.1,75
Mount_Harvard,38.9244,-106.3207,294.15,285.93,{},5.7,90
Blanca_Peak,37.5775,-105.4856,294.82,290.93,{},2.6,75
La_Plata_Peak,39.0294,-106.4729,294.15,285.93,{},5.7,90
Uncompahgre_Peak,38.0717,-107.4621,298.15,289.15,{},1.5,1
Crestone_Peak,37.9669,-105.5855,294.15,291.15,{},3.38,1
Mount_Lincoln,39.3515,-106.1116,294.15,282.15,{},6.7,40
Castle_Peak,39.0097,-106.8614,295.93,285.15,{},4.1,90
Grays_Peak,39.6339,-105.8176,300.15,282.15,{},9.3,40
Mount_Antero,38.6741,-106.2462,294.15,285.93,{},5.7,90
Torreys_Peak,39.6428,-105.8212,300.15,282.15,{},9.3,40
Quandary_Peak,39.3973,-106.1064,294.15,282.15,{},6.7,40
Mount_Evans,39.5883,-105.6438,300.37,282.15,{},9.3,40
Longs_Peak,40.255,-105.6151,302.15,290.15,{},2.1,75
Mount_Wilson,37.8391,-107.9916,301.15,290.15,{},1.5,1
Mount_Shavano,38.6192,-106.2393,294.15,285.93,{},5.7,75
Mount_Princeton,38.7492,-106.2424,294.15,281.15,{},5.7,90
Mount_Belford,38.9607,-106.3607,294.15,281.15,{},5.7,90
Crestone_Needle,37.9647,-105.5766,294.15,291.15,{},3.38,1
Mount_Yale,38.8442,-106.3138,294.15,286.48,{},5.7,90
Mount_Bross,39.3354,-106.1077,294.26,285.15,{},3.6,90
Kit_Carson_Mountain,37.9797,-105.6026,295.37,291.15,{},3.27,1
Maroon_Peak,39.0708,-106.989,295.93,285.15,{},4.1,90
Tabeguache_Peak,38.6255,-106.2509,294.15,286.48,{},5.7,75
Mount_Oxford_Colorado,38.9648,-106.3388,294.15,286.15,{},5.7,90
Mount_Sneffels,38.0038,-107.7923,298.15,287.04,{},1.5,1
Mount_Democrat,39.3396,-106.14,294.26,285.15,{},3.6,90
Capitol_Peak,39.1503,-107.0829,298.15,285.15,{},5.1,90
Pikes_Peak,38.8405,-105.0442,296.15,288.15,{},5.1,75
Snowmass_Mountain,39.1188,-107.0665,295.93,285.15,{},4.1,90
Windom_Peak,37.6212,-107.5919,299.15,285.93,{},1.5,1
Mount_Eolus,37.6218,-107.6227,299.15,285.93,{},1.5,1
Challenger_Point,37.9804,-105.6066,295.37,291.15,{},3.27,1
Mount_Columbia,38.9039,-106.2975,294.15,285.15,{},5.7,90
Missouri_Mountain,38.9476,-106.3785,294.15,286.15,{},5.7,90
Humboldt_Peak,37.9762,-105.5552,295.37,291.15,{},3.27,1
Mount_Bierstadt,39.5826,-105.6688,301.15,285.15,{},4.1,75
Sunlight_Peak,37.6274,-107.5959,299.15,285.93,{},1.5,1
Handies_Peak,37.913,-107.5044,294.82,285.93,{},1.5,1
Culebra_Peak,37.1224,-105.1858,297.04,290.93,{},2.6,75
Ellingwood_Point,37.5826,-105.4927,294.82,290.93,{},2.6,75
Mount_Lindsey,37.5837,-105.4449,295.37,290.93,{},2.6,75
Little_Bear_Peak,37.5666,-105.4972,294.82,290.93,{},2.6,75
Mount_Sherman,39.225,-106.1699,294.26,285.15,{},4.1,75
Redcloud_Peak,37.941,-107.4219,293.71,285.93,{},1.5,1
Pyramid_Peak,39.0717,-106.9502,295.93,285.15,{},4.1,90
Wilson_Peak,37.8603,-107.9847,297.59,287.04,{},1.5,1
San_Luis_Peak,37.9868,-106.9313,293.71,285.93,{},0.62,1
Wetterhorn_Peak,38.0607,-107.5109,294.26,285.93,{},1.5,1
Mount_of_the_Holy_Cross,39.4668,-106.4817,298.15,286.15,{},4.1,75
Huron_Peak,38.9455,-106.4381,294.15,286.15,{},5.7,90
Sunshine_Peak,37.9228,-107.4256,293.71,285.93,{},1.5,1
Mt._Cameron,39.347165,-106.118501,294.26,285.15,{},3.6,90
El_Diente_Peak,37.839383,-108.005335,301.15,287.04,{},1.5,1
Conundrum_Peak,39.015682,-106.862749,295.93,285.15,{},4.1,90
North_Eolus,37.625192,-107.621187,299.15,285.93,{},1.5,1
North_Maroon_Peak,39.076007,-106.987058,295.93,285.15,{},4.1,90
